IP Address,Timestamp,Request Method,URL,Response Code,User Agent,Request Successful,Request Failed
54.36.149.41,2019-01-22 03:56:14,GET,"/filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53 HTTP/1.1",200,Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/),requestsuccessful:,214
31.56.96.51,2019-01-22 03:56:16,GET,/image/60844/productModel/200x200 HTTP/1.1,200,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",requestsuccessful:,46
31.56.96.51,2019-01-22 03:56:16,PUT,/image/61474/productModel/200x200 HTTP/1.1,200,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",requestsuccessful:,45
40.77.167.129,2019-01-22 03:56:17,DELETE,/image/14925/productModel/100x100 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,284
91.99.72.15,2019-01-22 03:56:17,GET,/product/31893/62100/%D8%B3%D8%B4%D9%88%D8%A7%D8%B1-%D8%AE%D8%A7%D9%86%DA%AF%DB%8C-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR257AT HTTP/1.1,200,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,requestsuccessful:,110
40.77.167.129,2019-01-22 03:56:17,GET,/image/23488/productModel/150x150 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,44
40.77.167.129,2019-01-22 03:56:18,GET,/image/45437/productModel/150x150 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,170
40.77.167.129,2019-01-22 03:56:18,GET,/image/576/article/100x100 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,109
66.249.66.194,2019-01-22 03:56:18,POST,"/filter/b41,b665,c150%7C%D8%A8%D8%AE%D8%A7%D8%B1%D9%BE%D8%B2,p56 HTTP/1.1",200,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),requestsuccessful:,55
40.77.167.129,2019-01-22 03:56:18,GET,/image/57710/productModel/100x100 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,12
207.46.13.136,2019-01-22 03:56:18,POST,/product/10214 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,285
40.77.167.129,2019-01-22 03:56:19,GET,/image/578/article/100x100 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,182
178.253.33.51,2019-01-22 03:56:19,PUT,/m/product/32574/62991/%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D8%B5%D9%88%D8%B1%D8%AA-%D9%BE%D8%B1%D9%86%D8%B3%D9%84%DB%8C-%D9%85%D8%AF%D9%84-PR465AT HTTP/1.1,200,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",requestsuccessful:,32
40.77.167.129,2019-01-22 03:56:19,GET,/image/6229/productModel/100x100 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,54
91.99.72.15,2019-01-22 03:56:19,GET,/product/10075/13903/%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D9%81%D8%B1-%D8%B1%D9%88%D9%85%DB%8C%D8%B2%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-CE288 HTTP/1.1,200,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",requestsuccessful:,206
40.77.167.129,2019-01-22 03:56:19,POST,/image/6229/productModel/150x150 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,144
207.46.13.136,2019-01-22 03:56:19,GET,/product/14926 HTTP/1.1,404,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,69
40.77.167.129,2019-01-22 03:56:19,GET,/image/6248/productModel/150x150 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,63
40.77.167.129,2019-01-22 03:56:20,GET,/image/64815/productModel/150x150 HTTP/1.1,200,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm),requestsuccessful:,165
66.249.66.194,2019-01-22 03:56:20,GET,"/m/filter/b2,p6 HTTP/1.1",200,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",requestsuccessful:,56
91.99.72.15,2019-01-22 03:56:20,PUT,/product/32798/63266/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%DB%8C%D9%86%D8%AC%D8%B1-%D9%85%D8%AF%D9%84-pearl-SR7 HTTP/1.1,200,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.92 Safari/537.36",requestsuccessful:,111
178.253.33.51,2019-01-22 03:56:20,GET,/settings/logo HTTP/1.1,200,"Mozilla/5.0 (Linux; Android 5.1; HTC Desire 728 dual sim) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.83 Mobile Safari/537.36",requestsuccessful:,255
66.249.66.91,2019-01-22 03:56:20,GET,/filter/b874%2Cb32%2Cb63%2Cb99%2Cb126%2Cb820%2Cb249%2Cb3%2Cb148%2Cb724%2Cb613%2Cb183%2Cb213%2Cb484%2Cb224%2Cb734%2Cb20%2Cb95%2Cb542%2Cb212%2Cb485%2Cb523%2Cb221%2Cb118%2Cb186%2Cb67?page=4 HTTP/1.1,200,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),requestsuccessful:,206
31.56.96.51,2019-01-22 03:56:20,GET,/image/60819/productModel/200x200 HTTP/1.1,200,"Mozilla/5.0 (Linux; Android 6.0; ALE-L21 Build/HuaweiALE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36",requestsuccessful:,64
